d011.s000.t000;immigration;n
d011.s000.t001;burden;n
d011.s000.t002;opportunity;n
d011.s000.t003;economy;n
d011.s001.t000;immigration;n
d011.s001.t001;policy;n
;criticise;v
;various;a
d011.s001.t002;aspect;n
d011.s001.t003;congestion;n
d011.s001.t004;police;n
;legal;a
;administrative;a
d011.s001.t005;service;n
;subject;v
d011.s001.t006;policy;n
d011.s001.t007;number;n
d011.s001.t008;compatibility;n
d011.s001.t009;policy;n
;self-proclaimed;a
d011.s001.t010;status;n
d011.s001.t011;country;n
d011.s001.t012;country;n
;french;a
d011.s001.t013;human_right;n
;recently;r
;administrative;a
d011.s002.t000;harassment;n
;foreign;a
d011.s002.t001;student;n
;topical;a
;minister;n
;interior;a
;may;n
;declare;v
d011.s002.t002;france;n
;need;v
;foreign;a
d011.s002.t003;talent;n
d011.s002.t004;bricklayer;n
d011.s002.t005;waiter;n
;rarely;r
;analyze;v
;economic;a
d011.s003.t000;viewpoint;n
d011.s004.t000;lot;n
d011.s004.t001;consensus;n
d011.s004.t002;left;n
d011.s004.t003;right;n
d011.s004.t004;subject;n
d011.s005.t000;right;n
d011.s005.t001;tone;n
;set;v
;declare;v
d011.s005.t002;unemployed;n
;become;v
d011.s005.t003;problem;n
d011.s005.t004;country;n
;million;n
;foreign;a
d011.s005.t005;worker;n
d011.s005.t006;left;n
;explain;v
d011.s005.t007;france;n
;accommodate;v
d011.s005.t008;world;n
d011.s005.t009;misery;n
d011.s006.t000;difference;n
d011.s006.t001;degree;n
d011.s006.t002;generosity;n
d011.s007.t000;fear;n
d011.s007.t001;invasion;n
;national;a
d011.s007.t002;territory;n
d011.s007.t003;horde;n
;polish;a
d011.s007.t004;plumber;n
;feel;v
d011.s007.t005;left;n
d011.s007.t006;right;n
d011.s008.t000;side;n
;see;v
d011.s008.t001;immigrant;n
d011.s008.t002;burden;n
;french;a
d011.s008.t003;economy;n
;french;a
d011.s008.t004;society;n
d011.s009.t000;difference;n
;reside;v
d011.s009.t001;degree;n
d011.s009.t002;generosity;n
;deign;v
;grant;v
d011.s009.t003;immigrant;n
d011.s010.t000;program;n
;confines;n
d011.s010.t001;banality;n
;say;v
;allow;v
d011.s010.t002;immigration;n
d011.s010.t003;problem;n
;solve;v
d011.s011.t000;notion;n
d011.s011.t001;immigration;n
d011.s011.t002;burden;n
d011.s011.t003;problem;n
;electoral;a
d011.s011.t004;asset;n
;economically;r
;costly;a
d011.s012.t000;economist;n
;remind;v
;recent;a
d011.s012.t001;book;n
;summarise;v
;recent;a
d011.s012.t002;knowledge;n
d011.s012.t003;immigration;n
;exceptional;a
d011.s012.t004;people;n
d011.s012.t005;migration;n
d011.s012.t006;world;n
;define;v
d011.s012.t007;future;n
;princeton;n
;university;n
;press;n
;wide;a
d011.s012.t008;consensus;n
d011.s012.t009;specialist;n
;positive;a
d011.s012.t010;impact;n
d011.s012.t011;migration;n
d011.s012.t012;flow;n
d011.s012.t013;economic_growth;n
d011.s012.t014;wage;n
d011.s012.t015;employment;n
d011.s012.t016;country;n
;admit;v
d011.s012.t017;immigrant;n
d011.s013.t000;immigration;n
;lead;v
;anaemic;a
d011.s013.t001;growth;n
;harm;v
d011.s013.t002;employment;n
d011.s014.t000;fear;n
d011.s014.t001;impact;n
d011.s014.t002;immigrant;n
;base;v
d011.s014.t003;notion;n
;liable;a
;replace;v
;native;a
d011.s014.t004;worker;n
