;editorial;n
;ill;n
;homeless;n
d000.s000.t000;refer;v
d000.s000.t001;research;n
;colleague;n
d000.s000.t002;report;v
;issue;n
;journal;n
;american;n
;medical;n
;association;n
d000.s001.t000;comment;n
d000.s001.t001;imply;v
d000.s001.t002;discover;v
;principal;a
d000.s001.t003;cause;n
;homelessness;n
d000.s001.t004;find;v
;large;a
;number;n
;mentally;r
;ill;a
;people;n
;homeless;a
;population;n
d000.s002.t000;make;v
d000.s002.t001;statement;n
;clear;a
;mentally;r
;ill;a
;people;n
;alcoholic;n
d000.s003.t000;become;v
;homeless;a
d000.s004.t000;cause;n
;homelessness;n
;poorly;r
d000.s004.t001;understand;v
;complex;a
;individual;a
;case;n
d000.s005.t000;quote;v
;research;n
d000.s005.t001;emphasize;v
;high;a
;mental;a
;illness;n
;alcoholism;n
d000.s006.t000;note;v
;homeless;a
d000.s006.t001;people;n
d000.s006.t002;examine;v
d000.s006.t003;have;v
d000.s006.t004;multitude;n
;physical;a
;disorder;n
;addition;n
;psychiatric;a
;problem;n
;substance;n
;abuse;n
d000.s007.t000;suffer;v
;malnutrition;n
;chest;n
;disease;n
;cardiovascular;a
;disorder;n
;skin;n
;problem;n
;infectious;a
;disease;n
;assault;n
;rape;n
;homeless;a
d000.s008.t000;people;n
d000.s008.t001;lack;v
;safety;n
;privacy;n
d000.s008.t002;shelter;n
;also;r
d000.s008.t003;lack;v
;elementary;a
d000.s008.t004;necessity;n
;nutrition;n
;cleanliness;n
;basic;a
;health;n
;care;n
;recent;a
;report;n
;institute;n
;medicine;n
d000.s009.t000;point_out;v
;certain;a
;health;n
d000.s009.t001;problem;n
d000.s009.t002;predispose;v
d000.s009.t003;person;n
;homelessness;n
;consequence;n
;third;a
d000.s009.t004;category;n
d000.s009.t005;compose;v
;disorder;n
;treatment;n
;difficult;a
;impossible;a
;person;n
d000.s009.t006;lack;v
;adequate;a
d000.s009.t007;shelter;n
d000.s010.t000;interaction;n
;health;n
;homelessness;n
;complex;a
d000.s010.t001;defy;v
;sweeping;a
d000.s010.t002;generalization;n
;cause;v
;effect;n
d000.s011.t000;look_to;v
;future;n
d000.s011.t001;prevent;v
;homelessness;n
;important;a
;objective;n
d000.s012.t000;require;v
d000.s012.t001;develop;v
;much;r
;sophisticated;a
d000.s012.t002;understanding;n
;dynamics;n
;homelessness;n
;currently;r
d000.s012.t003;possess;v
;understanding;n
d000.s012.t004;develop;v
;careful;a
;study;n
;research;n
;fischer;n
;department;n
;psychiatry;n
;john;n
;university;n
;school;n
;medicine;n
;baltimore;n
d000.s014.t000;study;n
;wright;n
d000.s014.t001;say;v
;homelessness;n
;due;a
;complex;a
;array;n
;problem;n
;common;a
;thread;n
;poverty;n
d000.s015.t000;study;n
d000.s015.t001;show;v
;nearly;r
;homeless;a
;population;n
d000.s015.t002;make_up;v
;woman;n
;child;n
;homeless;n
d000.s015.t003;exhibit;v
d000.s015.t004;combination;n
;drug;n
;alcohol;n
;mental;a
;problem;n
;accord;v
;dr.;n
;wright;n
;homelessness;n
;simultaneously;r
;housing;n
d000.s016.t000;problem;n
;employment;n
;problem;n
;demographic;a
;problem;n
;problem;n
;social;a
;mental;a
;health;n
;problem;n
;family;n
;violence;n
;problem;n
;problem;n
d000.s016.t001;create;v
;cutback;n
;social;a
;welfare;n
;spending;n
;problem;n
d000.s016.t002;result;v
;decay;n
;traditional;a
;nuclear;a
;family;n
;problem;n
;intimately;r
d000.s016.t003;connect;v
;recent;a
;increase;n
;number;n
d000.s016.t004;person;n
d000.s016.t005;live;v
;poverty;n
;level;n
;president;n
;robert;n
;wood;n
;johnson;n
;foundation;n
;princeton;n
d000.s018.t000;quote;v
;highly;r
d000.s018.t001;director;n
;privately;r
;fund;v
d000.s018.t002;center;n
;homeless;n
;york;n
;homeless;a
d000.s018.t003;sleep;v
;fear;n
d000.s018.t004;rob;v
;murder;v
;first;a
;week;n
;sleep;n
;deprivation;n
;scarcely;r
;touch;n
;reality;n
;psychiatric;a
;treatment;n
;well;r
;unable;a
d000.s019.t000;fend;v
;ever;r
;homeless;n
;obviously;r
d000.s020.t000;have;v
;pre-existing;a
;mental;a
;illness;n
d000.s020.t001;addiction;n
;many;a
d000.s021.t000;fall;v
;crack;n
;economy;n
;grim;a
;brutal;a
;world;n
;city;n
;street;n
;way;n
;escape;n
;open;a
;drink;n
;drug;n
;insanity;n
;maxwell;n
;brooklyn;n
d000.s024.t000;dismiss;v
;sentimental;a
d000.s024.t001;view;n
d000.s024.t002;reduction;n
;federal;a
;program;n
d000.s024.t003;play;v
;significant;a
d000.s024.t004;role;n
;increase;v
d000.s024.t005;number;n
;man;n
d000.s024.t006;woman;n
;sleep;v
;city;n
;street;n
;year;n
;sign;n
d000.s025.t000;bother;v
d000.s025.t001;consider;v
;inverse;n
;logic;n
;namely;r
;mental;a
;illness;n
;substance;n
;abuse;n
;degree;n
;consequence;n
;rather;r
;cause;n
;homelessness;n
d000.s026.t000;research;n
d000.s026.t001;stop;v
;convenient;a
d000.s026.t002;assertion;n
d000.s026.t003;make;v
;robert;n
;cambridge;n
;mass;n
;approximately;r
;sponsor;n
;recent;a
d000.s028.t000;march;n
;washington;n
;homeless;n
d000.s028.t001;choose;v
d000.s028.t002;cite;v
d000.s028.t003;group;n
;national;n
;association;n
;home;n
;builder;n
;international;n
;union;n
;bricklayer;n
;craftsman;n
d000.s028.t004;insinuate;v
;march;n
d000.s028.t005;get;v
;major;a
d000.s028.t006;support;n
;self-serving;a
;group;n
d000.s028.t007;know;v
;good;a
d000.s028.t008;thing;n
d000.s028.t009;see;v
d000.s028.t010;crusade;n
d000.s028.t011;base;v
;greed;n
;profit;n
;motive;n
;desire;n
;profit;n
;drive;v
d000.s029.t000;force;n
d000.s029.t001;subscribe;v
d000.s029.t002;advertise;v
;paper;n
d000.s030.t000;mention;v
;catholic;n
;charity;n
;usa;n
;nonprofit;a
d000.s030.t001;organization;n
d000.s030.t002;participate;v
;march;n
;finding;n
;baltimore;n
d000.s031.t000;homeless;n
d000.s031.t001;undergo;v
;psychiatric;a
d000.s031.t002;examination;n
d000.s031.t003;suggest;v
d000.s031.t004;conduct;v
d000.s031.t005;survey;n
d000.s032.t000;choose;v
;business;n
d000.s032.t001;executive;n
d000.s032.t002;include;v
;perhaps;r
;someone;n
;staff;n
d000.s032.t003;put;v
;street;n
d000.s032.t004;deprive;v
;month;n
;home;n
;family;n
;income;n
d000.s033.t000;predict;v
;short;a
;time;n
d000.s033.t001;find;v
;thunderbird;n
;satisfactory;a
;substitute;n
;normal;a
;phobia;n
;anxiety;n
;depression;n
;substance;n
;abuse;n
d000.s033.t002;increase;v
;dramatically;r
;ruth;n
;nelson;n
